Teks;Kelas
  sobat kreatif semua! Balai Diklat Industri (BDI) Denpasar bekerja sama dengan Spektrumedia Studio, Kota Makassar, kembali mengadakan Diklat secara 3 in 1 Diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 29 (Dua Puluh Sembilan) hari pelatihan (sudah termasuk kegiatan Uji Kompetensi Diklat 3 in 1), mulai dari tanggal 24 Februari hingga 31 Maret 2022 bertempat di Fakultas Ilmu Komputer (Fikom) Universitas Muslim Indonesia (UMI), Kota Makassar, Provinsi Sulawesi Selatan Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia Penyunting Film Animasi (Editor), yuks buruan daftar! GRATIS! Terbatas untuk 25 peserta Diklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di :  ;Agenda
UI (User Interface) dan U  (User E perience) merupakan dua hal yang berhubungan dengan tampilan sebuah aplikasi maupun website agar dapat mudah digunakan oleh pengguna (user) Seorang UI/U  designer yang baik harus dapat mendesain bagaimana agar suatu website, apps maupun platform lain yang sedang dikembangkan dapat lebih mudah digunakan oleh user/manusia dari tampilan (interface) yang disuguhkan Pada kelas tersebut, para peserta diajarkan berbagai materi mengenai UI/U  Design Thinking, Persona – Emphaty Map, serta Define and Ideation Selain itu, para peserta juga diajak untuk memahami mengenai UI Elements and Atomic Design System, dan Heuristic UI/U  Writing Pada akhir kegiatan, para peserta diajak untuk melakukan tes dan evaluasi dari desain yang telah dirancang;Agenda
Balai Diklat Industri (BDI) Denpasar bekerja sama dengan Semarang Creative Content (Seccon), Provinsi Jawa Tengah kembali mengadakan Diklat secara 3 in 1 Diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 10 (Sepuluh) hari pelatihan (sudah termasuk kegiatan Uji Kompetensi Diklat 3 in 1), mulai dari tanggal 4 hingga 15 Februari 2022 bertempat di SMK Muhammadiyah 1 Semarang, Kota Semarang, Jawa Tengah Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia animasi 2 Dimensi, yuks buruan daftar! GRATIS! Terbatas untuk 24 peserta Diklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di :  ;Agenda
Balai Diklat Industri (BDI) Denpasar bekerja sama dengan Baraka Creative Studio, Provinsi Sumatera Barat kembali mengadakan Diklat secara 3 in 1 Diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 14 (Empat Belas) hari pelatihan (sudah termasuk kegiatan Uji Kompetensi Diklat 3 in 1), mulai dari tanggal 17 Januari hingga 1 Februari 2022 bertempat di Universitas Negeri Padang, Kota Padang, Sumatera Barat Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia animasi 3 Dimensi, yuks buruan daftar! GRATIS! Terbatas untuk 24 peserta Diklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di : ;Agenda
BDI Denpasar Business Incubator mengadakan Business Talk dengan tema “E plore Business Idea & Insight in Digital Health Industry” yang menghadirkan Narasumber yaitu “Nova Ariyanto Jono” yang merupakan Co  Founder sekaligus CEO dari Psikologimu dan “Made Dwi Putra Wijaya” yang merupakan Koordinator dari BDI Denpasar Business Incubator Dalam Kegiatan ini narasumber akan sharing knowledge dan inspirasi bagaimana proses memulai bisnis dan hal – hal yang diperlukan dalam sebuah bisnis Diakhir kegiatan, peserta akan melakukan tanya jawab dengan pembicara pada kegiatan ini Workshop akan dilaksanakan pada : Hari dan Tanggal : Jumat, 25 Februari 2022 Pukul : 1000 – 1130 WITA Live on Zoom Meeting Tunggu Apalagi ! Ayo segera bergabung dengan mendaftarkan diri sekarang juga di link berikut ini :  ;Pengumuman
Balai Diklat Industri (BDI) Denpasar bekerja sama dengan PT Mocca Multi Talenta, Provinsi Jawa Timur kembali mengadakan Diklat secara 3 in 1 Diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 38 (Tiga Puluh Delapan) hari pelatihan (sudah termasuk kegiatan Uji Kompetensi Diklat 3 in 1), mulai dari tanggal 14 Februari hingga 29 Maret 2022 bertempat di Gedung Mocca Animation Studio, Kota Malang, Jawa Timur Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia animasi 2 Dimensi, yuks buruan daftar! GRATIS! Terbatas untuk 24 peserta Diklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di : ;Agenda
Balai Diklat Industri Denpasar pada hari Selasa, 2 23 November 2021 akan mengadakan kelas Diklat 3 in 1 “Junior Web Programmer Angkatan III” bekerjasama dengan Mitra Studio Tiga Serangkai Diklat diadakan selama 19 hari secara langsung di Laboratorium Komputer (LabKom) B Lantai 2, BDI Denpasar (tatap muka) Diklat ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di :  ;Agenda
Balai Diklat Industri (BDI) Denpasar melalui Inkubator Bisnis Tohpati telah menyelenggarakan Talent Camp: Kelas Game Developer pada tanggal 20 sd 24 September 2021 yang lalu Bertempat di Gedung Animasi dan Promosi lantai 2, kelas ini diikuti oleh sebanyak 20 orang peserta Pada kelas Game Developer, para peserta diberikan pengenalan mengenai dasar teori game design, game industry, dan pengenalan Godot Game Engine Selain itu juga diajarkan mengenai cara melakukan instalasi software, pengenalan user interface Godot, dan dasar scripting menggunakan GDscript Tidak hanya berupa teori, para peserta juga diajak melakukan praktik project membuat game sederhana Pong dan Breakout, game Flappy Bird, serta game 2D platformer Pada akhir kelas, para peserta melakukan presentasi mengenai game yang telah mereka buat pada final project serta dilakukan evaluasi oleh para mentor dari Slab Games Harapannya melalui kelas Game Developer ini, para peserta dapat berhasil menyelesaikan proyek berupa game jadi sederhana yang bisa dimainkan di perangkat PC maupun mobile;Agenda
Balai Diklat Industri (BDI) Denpasar bekerja sama dengan PT Jitu Kreasi Utama Yogyakarta, kembali mengadakan Diklat secara 3 in 1 Diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 22 (Dua Puluh Dua) hari pelatihan (sudah termasuk kegiatan Uji Kompetensi Diklat 3 in 1), mulai dari tanggal 15 Maret hingga 8 April 2022 bertempat di Youth Center Yogyakarta, DI Yogyakarta Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia penyuntingan Film Animasi, yuks buruan daftar! GRATIS! Terbatas untuk 24 peserta Diklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di : ;Agenda
Hallo, Sobat Kreatif Balai Diklat Industri Denpasar tiap bulannya memilih siapa siapa saja aparatur yang berhak mendapat predikat “Employee of the Month” Kriteria pemilihannya dilihat dari berbagai aspek Mulai dari kedisiplinan, kepatuhan, tanggung jawab, sampai dengan integritas yang dimiliki oleh aparatur tersebut Untuk di bulan Januari lalu, predikat “Employee of the Month BDI Denpasar Januari 2022” diberikan kepada Gede Suta Wiguna Semoga dapat menjadi motivasi untuk meningkatkan hasil karyanya demi kemajuan BDI Denpasar dan industri animasi Indonesia;Agenda
